Date,Open,High,Low,Close,Volume,Date_year,Date_month,Date_day,Date_day_of_week,Open_x_High,Open_x_Low,High_x_Low,Open_scaled,High_scaled,Low_scaled,Close_scaled,Volume_scaled
1995-11-30,0.347098,0.348214,0.339286,0.340402,174854400,1995,11,30,3,0.12086438297200001,0.117765492028,0.118144135204,-0.6371305023051842,-0.6376890135619009,-0.6371212613582947,-0.6376885987715415,-0.5442561055352825
1995-12-01,0.339286,0.341518,0.331473,0.335938,204209600,1995,12,1,4,0.11587227614799998,0.112464148278,0.113203996014,-0.6377455931723928,-0.6382112657010198,-0.6377432862145,-0.6380402821896337,-0.4195840987712466
1995-12-04,0.358259,0.358259,0.348214,0.352679,480681600,1995,12,4,0,0.12834951108099998,0.12475079942600001,0.12475079942600001,-0.6362517223296448,-0.6369055573585781,-0.6364104667958727,-0.6367213905896597,0.7545969340292976
1995-12-05,0.34375,0.356027,0.341518,0.352679,363596800,1995,12,5,1,0.12238428124999999,0.1173968125,0.121589628986,-0.637394112676845,-0.6370796414049511,-0.6369435627176891,-0.6367213905896597,0.2573359043798389
1995-12-06,0.354911,0.356027,0.342634,0.345982,201107200,1995,12,6,2,0.12635789859699997,0.12160457557399999,0.12198695511799999,-0.6365153327013057,-0.6370796414049511,-0.6368547133973864,-0.637248994498926,-0.4327600414929703
1995-12-07,0.345982,0.345982,0.33817,0.344308,141926400,1995,12,7,3,0.119703544324,0.11700073294000002,0.11700073294000002,-0.6372183724290712,-0.637863097608274,-0.6372101106785973,-0.6373808757807106,-0.684101851390401
1995-12-08,0.345982,0.351563,0.33817,0.351563,141355200,1995,12,8,4,0.121634469866,0.11700073294000002,0.11888805971000001,-0.6372183724290712,-0.637427809497697,-0.6372101106785973,-0.6368093114441827,-0.6865277469817653
1995-12-11,0.352679,0.353795,0.342634,0.344866,111652800,1995,12,11,0,0.12477606680500002,0.120839816486,0.12122219603,-0.6366910729490795,-0.6372537254513241,-0.6368547133973864,-0.637336915353449,-0.8126743177327089
1995-12-12,0.344866,0.344866,0.339286,0.339286,177553600,1995,12,12,1,0.11893255795600001,0.117008205676,0.117008205676,-0.6373062425529581,-0.6379501396314604,-0.6371212613582947,-0.6377765196260645,-0.5327925597015806
1995-12-13,0.341518,0.348214,0.328125,0.342634,684902400,1995,12,13,2,0.11892134885200001,0.11206059374999999,0.11425771875000001,-0.6375698529246188,-0.6376890135619009,-0.6380098341754084,-0.6375127570624952,1.6219259578123693
1995-12-14,0.347098,0.351563,0.339286,0.341518,333502400,1995,12,14,3,0.122026814174,0.117765492028,0.119280404018,-0.6371305023051842,-0.637427809497697,-0.6371212613582947,-0.6376006779170182,0.12952450332109625
